epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,374.006,1.36387,0.73166,0.96337,0.75597,0.75444,0.7734,0.28332,2.2377,0.96781,1.29956,0.0674085,3.26241e-05,3.26241e-05
2,747.668,1.23072,0.63741,0.95109,0.79483,0.72414,0.77217,0.27772,2.27409,0.98029,1.30443,0.0341026,6.00213e-05,6.00213e-05
3,1120.64,1.16133,0.5874,0.93064,0.80689,0.77155,0.82865,0.34004,2.08705,0.86363,1.23,0.000790638,8.14184e-05,8.14184e-05
4,1497.83,1.12629,0.56835,0.92998,0.7683,0.73607,0.77859,0.32523,2.17369,0.93913,1.3261,7.3e-05,7.3e-05,7.3e-05
5,1873.75,1.09121,0.5395,0.90971,0.8203,0.75755,0.82439,0.33369,2.14644,0.90526,1.32521,6.4e-05,6.4e-05,6.4e-05
6,2249.16,1.00945,0.50609,0.88777,0.80806,0.71983,0.78297,0.31025,2.21122,1.01131,1.34266,5.5e-05,5.5e-05,5.5e-05
7,2623.97,0.98643,0.48173,0.87939,0.82619,0.71767,0.78668,0.31222,2.20143,0.96372,1.34958,4.6e-05,4.6e-05,4.6e-05
8,2999.15,0.96646,0.45816,0.88116,0.83119,0.71097,0.80698,0.32681,2.16923,0.97249,1.31058,3.7e-05,3.7e-05,3.7e-05
9,3374.28,0.93022,0.44635,0.87503,0.8248,0.73052,0.80657,0.33823,2.12217,0.95418,1.30006,2.8e-05,2.8e-05,2.8e-05
10,3749.39,0.88926,0.43098,0.86846,0.81739,0.73922,0.8137,0.33169,2.14683,0.938,1.33033,1.9e-05,1.9e-05,1.9e-05
11,4124.1,0.83478,0.40562,0.84838,0.81553,0.74316,0.80759,0.33064,2.15522,0.95783,1.34302,1e-05,1e-05,1e-05
