epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7114,1.60594,0.88679,1.03322,0.79816,0.57759,0.69272,0.27954,2.23062,1.2953,1.18904,0.093007,7e-06,7e-06
2,66.5177,1.65469,0.9151,1.04147,0.72715,0.52842,0.64434,0.24349,2.28994,1.44734,1.25488,0.085014,1.401e-05,1.401e-05
3,99.6777,1.68395,0.93896,1.03935,0.69614,0.69126,0.7503,0.31125,2.05198,1.23093,1.18276,0.07702,1.9964e-05,1.9964e-05
4,133.113,1.67652,0.8845,1.03593,0.72149,0.80172,0.8027,0.33582,2.04602,1.10865,1.18512,0.0690249,2.4862e-05,2.4862e-05
5,166.413,1.74394,0.91997,1.05016,0.77767,0.81897,0.83325,0.36291,1.97682,1.03319,1.16105,0.0610287,2.8704e-05,2.8704e-05
6,199.498,1.57951,0.83357,1.05921,0.84433,0.74816,0.849,0.38338,1.95764,1.0238,1.16318,0.0530315,3.149e-05,3.149e-05
7,232.504,1.59607,0.8836,1.05848,0.85107,0.72414,0.84969,0.3965,1.98346,1.04285,1.17085,0.0450332,3.322e-05,3.322e-05
8,265.561,1.59643,0.89277,1.0572,0.83267,0.76724,0.85578,0.34501,2.14496,1.04869,1.22049,0.0370339,3.3894e-05,3.3894e-05
9,297.76,1.62467,0.87494,1.06905,0.80885,0.80253,0.85837,0.34158,2.09829,0.95095,1.20142,0.0290335,3.3512e-05,3.3512e-05
10,330.292,1.53824,0.80517,1.04811,0.923,0.82666,0.89905,0.36902,2.021,0.91244,1.17563,0.0210321,3.2074e-05,3.2074e-05
11,362.84,1.51988,0.77548,0.97756,0.89538,0.81159,0.88632,0.38232,1.99876,0.88479,1.16792,0.0130296,2.958e-05,2.958e-05
12,395.228,1.57479,0.79886,1.04283,0.88399,0.78831,0.88773,0.37523,2.03121,0.8874,1.17788,0.00502603,2.603e-05,2.603e-05
13,427.869,1.55654,0.78907,1.03939,0.89501,0.80172,0.88808,0.3704,2.06017,0.88875,1.18796,2.08e-05,2.08e-05,2.08e-05
14,460.485,1.44322,0.76902,1.01021,0.91077,0.81034,0.90026,0.37581,2.06045,0.88764,1.18696,1.42e-05,1.42e-05,1.42e-05
15,493.054,1.48692,0.75201,1.00911,0.91406,0.82527,0.89966,0.37048,2.04937,0.88321,1.18459,7.6e-06,7.6e-06,7.6e-06
